video_id,label,modality,background_music,static_image,voice_over
-8pCMgGKZY8_000012,"male speech, man speaking",AV,True,False,True
-8pCMgGKZY8_000012,sheep bleating,AV,True,False,True
-A1o1Egi20c_000060,church bell ringing,A,True,True,False
-A1o1Egi20c_000060,"female speech, woman speaking",AV,True,True,False
-A1o1Egi20c_000060,striking pool,A,True,True,False
-A3zsFeU_OI_000030,"female speech, woman speaking",AV,False,False,False
-ABOfhcXwt8_000017,"female speech, woman speaking",A,False,False,False
-ABOfhcXwt8_000017,"male speech, man speaking",A,False,False,False
-ABOfhcXwt8_000017,people cheering,AV,False,False,False
-ABOfhcXwt8_000017,people crowd,AV,False,False,False
-ABOfhcXwt8_000017,people running,V,False,False,False
-ABOfhcXwt8_000017,people screaming,AV,False,False,False
-AIzKe9X0hA_000006,wind noise,A,False,True,False
-AMsYmKRnWE_000008,bird squawking,AV,False,False,False
-AMsYmKRnWE_000008,wood thrush calling,AV,False,False,False
-AMsYmKRnWE_000008,"bird chirping, tweeting",AV,False,False,False
-AeiYb4vDK0_000340,"male speech, man speaking",A,False,False,True
-Am9MfJ6Z2o_000060,"child speech, kid speaking",A,False,False,True
-Am9MfJ6Z2o_000060,eating with cutlery,AV,False,False,True
-Am9MfJ6Z2o_000060,people eating,AV,False,False,True
-Am9MfJ6Z2o_000060,"male speech, man speaking",A,False,False,True
-Am9MfJ6Z2o_000060,people crowd,AV,False,False,True
-BmjFZ1xu5Q_000263,male singing,AV,False,False,False
-BmjFZ1xu5Q_000263,playing accordion,AV,False,False,False
-BmjFZ1xu5Q_000263,playing drum kit,A,False,False,False
-By6I234TSs_000010,playing synthesizer,AV,False,False,False
-ByoSbgzr4M_000000,playing electric guitar,AV,False,False,False
-ByoSbgzr4M_000000,tapping guitar,AV,False,False,False
-COelgvUEW4_000016,female singing,AV,True,False,False
-COelgvUEW4_000016,"female speech, woman speaking",AV,True,False,False
-COelgvUEW4_000016,playing piano,AV,True,False,False
-CZ1LIc8aos_000020,car passing by,AV,False,False,False
-CZ1LIc8aos_000020,"engine accelerating, revving, vroom",AV,False,False,False
-CZ1LIc8aos_000020,people giggling,A,False,False,False
-CZ1LIc8aos_000020,people sniggering,A,False,False,False
-CZ1LIc8aos_000020,"race car, auto racing",A,False,False,False
-Cr0WQoFQQs_000045,elk bugling,AV,False,False,False
-Cr0WQoFQQs_000045,wind noise,A,False,False,False
-D64b_8YJK4_000046,"bird chirping, tweeting",AV,False,False,False
-DnZ_ZY3lgA_000160,"male speech, man speaking",AV,True,False,True
-DwwSHC2jLs_000102,"male speech, man speaking",AV,False,False,False
-DwwSHC2jLs_000102,playing cello,AV,False,False,False
-DwwSHC2jLs_000102,playing double bass,AV,False,False,False
-Ezk-jIm6kM_000170,playing cello,AV,False,False,False
-Ezk-jIm6kM_000170,playing piano,AV,False,False,False
-FKrYTj_eCU_000000,cat caterwauling,AV,False,False,False
-FKrYTj_eCU_000000,cat meowing,AV,False,False,False
-G04QpzSpbU_000020,cat purring,A,False,False,False
-G04QpzSpbU_000020,"child speech, kid speaking",AV,False,False,False
-G04QpzSpbU_000020,"male speech, man speaking",A,False,False,False
-GLVzwHQwtw_000069,"male speech, man speaking",A,False,False,True
-GLVzwHQwtw_000069,mosquito buzzing,V,False,False,True
-GOaBCyC5Js_000087,playing cornet,AV,False,False,False
-GOaBCyC5Js_000113,playing cornet,AV,False,False,False
-GOaBCyC5Js_000113,playing piano,AV,False,False,False
-GOaBCyC5Js_000113,playing trumpet,AV,False,False,False
-Hwec_jA5bI_000044,plastic bottle crushing,AV,False,False,False
-Hwec_jA5bI_000044,splashing water,AV,False,False,False
-Hwec_jA5bI_000044,squishing water,AV,False,False,False
-I3nR4HZK-E_000072,people eating,AV,False,False,False
-I3nR4HZK-E_000072,people eating crisps,AV,False,False,False
-IKnJa9U66I_000150,"female speech, woman speaking",A,False,False,True
-IKnJa9U66I_000150,using sewing machines,AV,False,False,True
-IZbvEO9wzU_000030,child singing,AV,True,True,False
-IZbvEO9wzU_000030,female singing,A,True,True,False
-IZbvEO9wzU_000030,playing synthesizer,A,True,True,False
-Igq1W20Gi8_000000,"male speech, man speaking",AV,False,False,False
-Igq1W20Gi8_000000,people whistling,AV,False,False,False
-Ii-kc3ufho_000106,"male speech, man speaking",A,False,True,True
-IvJaK7HLtQ_000030,male singing,A,True,True,False
-IvJaK7HLtQ_000030,playing bongo,A,True,True,False
-JJmkQYZA-4_000020,chicken crowing,AV,False,True,False
-JJmkQYZA-4_000020,playing bass drum,A,False,True,False
-JTbHL7OKf0_000052,coyote howling,V,False,False,False
-JUBdOr8Hes_000030,playing accordion,AV,False,False,False
-K-ccLMFE5M_000245,people crowd,V,False,False,False
-K-ccLMFE5M_000245,people marching,AV,False,False,False
-K-ccLMFE5M_000245,playing snare drum,AV,False,False,False
-K-ccLMFE5M_000259,"male speech, man speaking",A,False,False,False
-K-ccLMFE5M_000259,people marching,AV,False,False,False
-K-ccLMFE5M_000259,playing snare drum,AV,False,False,False
-K1BRF6qng8_000030,female singing,AV,False,False,False
-KTabIWnPSg_000021,playing bass drum,A,False,False,False
-KTabIWnPSg_000021,rapping,AV,False,False,False
-KqXcm-I2zY_000087,"male speech, man speaking",A,False,False,True
-KqXcm-I2zY_000087,playing tennis,AV,False,False,True
-Lmibx_Iu_E_000173,tractor digging,AV,False,False,False
-LxtesAXWIU_000032,sea waves,AV,False,False,False
-LxtesAXWIU_000042,cricket chirping,A,False,False,False
-LxtesAXWIU_000042,sea waves,AV,False,False,False
-M6K3QoHh40_000030,male singing,A,True,False,False
-M6K3QoHh40_000030,people shuffling,V,True,False,False
-M6K3QoHh40_000030,playing synthesizer,A,True,False,False
-MIwX2AaUas_000158,chopping food,AV,False,False,True
-MIwX2AaUas_000158,"male speech, man speaking",A,False,False,True
-N00SskHxS4_000529,"male speech, man speaking",A,False,False,False
-N00SskHxS4_000529,playing bugle,AV,False,False,False
-NCa3eFLULw_000221,"child speech, kid speaking",A,False,False,True
-NCa3eFLULw_000221,dinosaurs bellowing,AV,False,False,True
-NCa3eFLULw_000221,"female speech, woman speaking",A,False,False,True
-NCa3eFLULw_000221,people crowd,A,False,False,True
-NRx0SBMjo0_000024,pumping water,AV,False,False,False
-NRx0SBMjo0_000024,splashing water,AV,False,False,False
-NRx0SBMjo0_000024,spraying water,AV,False,False,False
-O4W3NA5-uA_000150,people shuffling,AV,False,False,False
-O4W3NA5-uA_000150,playing tennis,AV,False,False,False
-OAyRsvFGgc_000030,playing electric guitar,AV,True,False,False
-OAyRsvFGgc_000030,tapping guitar,AV,True,False,False
-OEJFMpQ-ko_000159,"child speech, kid speaking",AV,False,False,True
-OEJFMpQ-ko_000159,"female speech, woman speaking",A,False,False,True
-OEJFMpQ-ko_000159,playing darts,AV,False,False,True
-OJzsMV1G1A_000061,chainsawing trees,AV,False,False,False
-OJzsMV1G1A_000061,chopping wood,A,False,False,False
-OVb-UG8yJw_000030,airplane,AV,False,False,False
-OVb-UG8yJw_000030,airplane flyby,AV,False,False,False
-OxoxrlzLXA_000045,"male speech, man speaking",A,False,False,False
-OxoxrlzLXA_000045,people screaming,AV,False,False,False
-OxoxrlzLXA_000045,roller coaster running,AV,False,False,False
-P2cxvGQUvk_000235,"male speech, man speaking",AV,True,False,False
-PvlrLjIAYo_000009,"bird chirping, tweeting",AV,False,False,False
-PvlrLjIAYo_000009,parrot talking,AV,False,False,False
-Q_UXiwWR_c_000030,car engine starting,AV,True,False,False
-Q_UXiwWR_c_000030,car passing by,AV,True,False,False
-Q_UXiwWR_c_000030,"engine accelerating, revving, vroom",AV,True,False,False
-Q_UXiwWR_c_000030,male singing,A,True,False,False
-Q_UXiwWR_c_000030,"male speech, man speaking",AV,True,False,False
-Q_UXiwWR_c_000030,playing drum kit,A,True,False,False
-Q_UXiwWR_c_000030,playing synthesizer,A,True,False,False
-Q_UXiwWR_c_000030,rapping,A,True,False,False
-Qowmc0P9ic_000034,male singing,A,True,False,False
-Qowmc0P9ic_000034,playing bass drum,AV,True,False,False
-Qowmc0P9ic_000034,playing cornet,AV,True,False,False
-QsPqh8Kyrc_000170,"male speech, man speaking",AV,False,False,False
-QsPqh8Kyrc_000170,people cheering,A,False,False,False
-QsPqh8Kyrc_000170,people running,V,False,False,False
-R4Vw5lNMPM_000010,playing bass drum,A,True,True,False
-R4Vw5lNMPM_000010,playing trombone,A,True,True,False
-RBs9pPhHY8_000030,ambulance siren,AV,False,False,False
-RBs9pPhHY8_000030,fire truck siren,A,False,False,False
-RO4IF8Qv3c_000369,"male speech, man speaking",A,False,False,True
-RO4IF8Qv3c_000369,playing darts,AV,False,False,True
-RUvAmkAcgw_000707,"female speech, woman speaking",AV,True,False,False
-RUvAmkAcgw_000707,playing electronic organ,A,True,False,False
-RUvAmkAcgw_000707,slot machine,AV,True,False,False
-S-TDT5oq0Q_000290,cattle mooing,A,False,False,False
-S-TDT5oq0Q_000290,"male speech, man speaking",A,False,False,False
-SWaCArvQug_000021,opening or closing drawers,AV,True,False,False
-Sd-j0rKeKw_000030,"female speech, woman speaking",AV,False,False,True
-Sd-j0rKeKw_000030,people sniggering,A,False,False,True
-Sd-j0rKeKw_000030,people sobbing,AV,False,False,True
-T2MO0xBNwM_000026,"male speech, man speaking",A,False,False,True
-T8L4SVm3u0_000001,footsteps on snow,A,False,True,False
-T8L4SVm3u0_000001,ice cracking,A,False,True,False
-T8zbMNxdcw_000207,"female speech, woman speaking",AV,False,False,False
-T8zbMNxdcw_000207,splashing water,AV,False,False,False
-T8zbMNxdcw_000207,swimming,AV,False,False,False
-Tok_g_jgE0_000268,"male speech, man speaking",AV,False,False,False
-Tok_g_jgE0_000268,rope skipping,AV,False,False,False
-USpijVx_aI_000200,"bird chirping, tweeting",AV,False,False,True
-USpijVx_aI_000200,"male speech, man speaking",AV,False,False,True
-USpijVx_aI_000200,thunder,A,False,False,True
-USpijVx_aI_000200,wind noise,A,False,False,True
-VevyIayGM0_000000,basketball bounce,AV,True,False,False
-VevyIayGM0_000000,"female speech, woman speaking",AV,True,False,False
-VevyIayGM0_000000,playing piano,A,True,False,False
-VevyIayGM0_000000,playing volleyball,AV,True,False,False
-Vo4CAMX26U_000030,playing didgeridoo,AV,False,False,False
-WIDMrHskbI_000350,people clapping,A,True,False,False
-WIDMrHskbI_000350,tap dancing,AV,True,False,False
-WVmsxGujF0_000052,"female speech, woman speaking",AV,False,False,False
-WVmsxGujF0_000052,"male speech, man speaking",AV,False,False,False
-WVmsxGujF0_000052,people giggling,AV,False,False,False
-WVmsxGujF0_000052,sloshing water,AV,False,False,False
-WVmsxGujF0_000052,spraying water,AV,False,False,False
-Wd5YV97ftU_000320,"engine accelerating, revving, vroom",AV,True,False,True
-Wd5YV97ftU_000320,"female speech, woman speaking",A,True,False,True
-Wd5YV97ftU_000320,playing piano,A,True,False,True
-Wd5YV97ftU_000320,"race car, auto racing",AV,True,False,True
-Wd5YV97ftU_000320,skidding,AV,True,False,True
-Wsuo4VDwfE_000030,chopping wood,AV,False,False,False
-XwtCzUaN1I_000160,playing cymbal,V,False,False,False
-XwtCzUaN1I_000160,playing drum kit,AV,False,False,False
-XxUW9gW6mc_000060,goat bleating,AV,False,False,False
-XxUW9gW6mc_000060,wind noise,A,False,False,False
-XxUW9gW6mc_000060,wind rustling leaves,AV,False,False,False
-Y-J_aNii3c_000021,fire crackling,A,True,True,False
-Y-J_aNii3c_000021,machine gun shooting,A,True,True,False
-Y-J_aNii3c_000021,people running,V,True,True,False
-Y-J_aNii3c_000021,playing bass drum,A,True,True,False
-Y-J_aNii3c_000021,playing electric guitar,A,True,True,False
-Y-UegG9tLw_000043,playing cornet,AV,False,False,False
-Y-UegG9tLw_000043,playing trumpet,AV,False,False,False
-Y-UegG9tLw_000282,orchestra,AV,False,False,False
-Y-UegG9tLw_000282,playing cornet,AV,False,False,False
-Y-UegG9tLw_000282,playing trumpet,AV,False,False,False
-YfaQljuwwA_000030,horse clip-clop,AV,False,False,False
-YwPSwhe2jo_000030,people shuffling,AV,True,False,False
-YwPSwhe2jo_000030,tap dancing,AV,True,False,False
-Z1ZSWDouUU_000030,"female speech, woman speaking",A,True,False,False
-Z1ZSWDouUU_000030,"male speech, man speaking",A,True,False,False
-Z1ZSWDouUU_000030,"motorboat, speedboat acceleration",AV,True,False,False
-Z1ZSWDouUU_000030,singing choir,A,True,False,False
-Z1ZSWDouUU_000030,wind noise,A,True,False,False
-ZFNLu4HclQ_000000,chicken crowing,A,False,False,True
-ZFNLu4HclQ_000000,"male speech, man speaking",A,False,False,True
-ZJqu_4zLMc_000030,cat purring,AV,False,False,True
-ZJqu_4zLMc_000030,"female speech, woman speaking",A,False,False,True
-ZSgg6jFUd8_000688,people eating crisps,AV,False,False,False
-Zl_ZkDmZHE_000000,playing flute,AV,False,False,False
-_f_ClsDxyc_000080,orchestra,A,True,True,False
-_f_ClsDxyc_000080,playing cello,A,True,True,False
-_f_ClsDxyc_000080,playing clarinet,A,True,True,False
-_umX4zgLVY_000028,lions growling,AV,False,False,False
-_umX4zgLVY_000028,lions roaring,A,False,False,False
-_yRmyG71Z0_000036,woodpecker pecking tree,V,False,False,False
-aK9JKAGme0_000041,"bird chirping, tweeting",A,False,False,False
-aK9JKAGme0_000041,cheetah chirrup,A,False,False,False
-aK9JKAGme0_000041,"female speech, woman speaking",A,False,False,False
-aK9JKAGme0_000041,"male speech, man speaking",A,False,False,False
-aK9JKAGme0_000041,wind noise,A,False,False,False
-aK9JKAGme0_000051,"bird chirping, tweeting",A,False,False,False
-aK9JKAGme0_000051,car engine idling,AV,False,False,False
-aK9JKAGme0_000051,car engine starting,A,False,False,False
-aK9JKAGme0_000051,cheetah chirrup,AV,False,False,False
-aK9JKAGme0_000051,"engine accelerating, revving, vroom",A,False,False,False
-aK9JKAGme0_000051,people whispering,A,False,False,False
-aK9JKAGme0_000051,wind noise,A,False,False,False
-aOxR6ILsw8_000000,car engine starting,A,False,False,False
-aOxR6ILsw8_000000,"race car, auto racing",V,False,False,False
-aUJLRXkj-Y_000118,"child speech, kid speaking",AV,True,False,False
-aUJLRXkj-Y_000118,children shouting,AV,True,False,False
-aUJLRXkj-Y_000118,"female speech, woman speaking",AV,True,False,False
-aXWYfAdovc_000230,"bee, wasp, etc. buzzing",AV,False,False,True
-aXWYfAdovc_000230,wind rustling leaves,A,False,False,True
-b42018ceoE_000078,"male speech, man speaking",AV,False,False,True
-b42018ceoE_000078,striking pool,AV,False,False,True
-bJPDtT31p0_000100,playing acoustic guitar,A,True,True,False
-bJPDtT31p0_000100,playing drum kit,A,True,True,False
-bJPDtT31p0_000100,playing snare drum,A,True,True,False
-cA9HsnV1ao_000030,hair dryer drying,A,False,True,False
-ct58kOlLfs_000030,"motorboat, speedboat acceleration",AV,False,False,False
-d1KR2BSfHM_000065,splashing water,AV,False,False,False
-d1KR2BSfHM_000065,squishing water,AV,False,False,False
-dRucPKqTFc_000007,"male speech, man speaking",AV,True,True,True
-dRucPKqTFc_000007,people slapping,AV,True,True,True
-dRucPKqTFc_000007,playing synthesizer,A,True,True,True
-e4wXAy1iVo_000000,child singing,AV,False,False,False
-e4wXAy1iVo_000000,female singing,AV,False,False,False
-e4wXAy1iVo_000000,playing ukulele,AV,False,False,False
-f1DNyngKVY_000030,playing harpsichord,A,True,True,False
-f1DNyngKVY_000030,playing sitar,A,True,True,False
-fAGzY9rnaA_000030,crow cawing,AV,False,False,True
-fAGzY9rnaA_000030,bird squawking,AV,False,False,True
-fAGzY9rnaA_000030,"female speech, woman speaking",A,False,False,True
-fP3n8D3sD4_000020,hair dryer drying,AV,True,False,False
-fPdOa99Iwg_000030,baby laughter,AV,False,False,False
-fPdOa99Iwg_000030,"male speech, man speaking",A,False,False,False
-fPdOa99Iwg_000030,people belly laughing,AV,False,False,False
-fPdOa99Iwg_000030,people giggling,AV,False,False,False
-fPdOa99Iwg_000030,people sniggering,AV,False,False,False
-fTfRh0_RQ4_000030,car passing by,AV,False,True,False
-fTfRh0_RQ4_000030,"engine accelerating, revving, vroom",AV,False,True,False
-fTfRh0_RQ4_000030,"race car, auto racing",AV,False,True,False
-fz6omiAhZ8_000040,"male speech, man speaking",AV,False,False,False
-fz6omiAhZ8_000040,"vehicle horn, car horn, honking",A,False,False,False
-g-GjgEq8l4_000017,male singing,AV,False,False,False
-g-GjgEq8l4_000017,yodelling,AV,False,False,False
-gCqnkIUmp0_000140,"child speech, kid speaking",A,True,False,False
-gCqnkIUmp0_000140,"female speech, woman speaking",AV,True,False,False
-gCqnkIUmp0_000140,people babbling,AV,True,False,False
-gSfPQqi6nI_000030,cat meowing,AV,False,False,False
-gYMAfoDgu0_000705,"engine accelerating, revving, vroom",AV,False,False,False
-gYMAfoDgu0_000705,people crowd,AV,False,False,False
-gYMAfoDgu0_000705,"race car, auto racing",AV,False,False,False
-galdW8VGEQ_000143,"male speech, man speaking",AV,False,False,False
-galdW8VGEQ_000143,snake rattling,A,False,False,False
-h5ZGw9Ci5c_000450,female singing,A,True,False,False
-h5ZGw9Ci5c_000450,playing drum kit,A,True,False,False
-h5ZGw9Ci5c_000450,playing guiro,A,True,False,False
-h5ZGw9Ci5c_000450,playing synthesizer,A,True,False,False
-hJ1YTZ5AGI_000030,male singing,A,True,False,False
-hJ1YTZ5AGI_000030,"male speech, man speaking",AV,True,False,False
-hJ1YTZ5AGI_000030,people belly laughing,A,True,False,False
-hJ1YTZ5AGI_000030,people sniggering,AV,True,False,False
-hb5BJ9xxBQ_000062,bowling impact,AV,False,False,True
-hb5BJ9xxBQ_000062,"female speech, woman speaking",A,False,False,True
-hb5BJ9xxBQ_000062,"male speech, man speaking",AV,False,False,True
-hb5BJ9xxBQ_000062,people cheering,A,False,False,True
-hb5BJ9xxBQ_000062,striking bowling,AV,False,False,True
-hedbpc8T0E_000030,baby babbling,AV,False,False,False
-hedbpc8T0E_000030,people babbling,AV,False,False,False
-hedbpc8T0E_000030,"female speech, woman speaking",A,False,False,False
-hedbpc8T0E_000030,people giggling,A,False,False,False
-hfAbHHlj44_000030,people battle cry,A,False,False,False
-hfAbHHlj44_000030,people crowd,A,False,False,False
-hss7xpzIVc_000030,male singing,AV,True,False,False
-hss7xpzIVc_000030,"male speech, man speaking",A,True,False,False
-iF4a6f5PJ8_000000,"bird chirping, tweeting",A,False,False,False
-iF4a6f5PJ8_000000,bird wings flapping,V,False,False,False
-iF4a6f5PJ8_000000,pheasant crowing,AV,False,False,False
-inB65exXFU_000030,firing cannon,AV,False,False,False
-inB65exXFU_000030,"male speech, man speaking",AV,False,False,False
-jFSYIHh6zc_000030,"female speech, woman speaking",AV,False,False,False
-jFSYIHh6zc_000030,"male speech, man speaking",AV,False,False,False
-jFSYIHh6zc_000030,people screaming,AV,False,False,False
-jFSYIHh6zc_000030,people sobbing,AV,False,False,False
-jVXNEvUJss_000259,"male speech, man speaking",A,False,False,False
-jVXNEvUJss_000259,people cheering,A,False,False,False
-jVXNEvUJss_000259,people clapping,AV,False,False,False
-jVXNEvUJss_000259,people crowd,A,False,False,False
-jVXNEvUJss_000259,playing table tennis,AV,False,False,False
-jZENGDFArw_000080,"child speech, kid speaking",AV,False,False,False
-jZENGDFArw_000080,female singing,AV,False,False,False
-kPDH9n0PG4_000310,"railroad car, train wagon",AV,False,False,False
-kPDH9n0PG4_000310,train horning,AV,False,False,False
-kPDH9n0PG4_000310,train wheels squealing,AV,False,False,False
-kPDH9n0PG4_000310,train whistling,AV,False,False,False
-kWlE2dkoxc_000170,vacuum cleaner cleaning floors,AV,False,False,False
-kZVoaYYU6o_000000,car passing by,AV,False,False,False
-kZVoaYYU6o_000000,driving buses,V,False,False,False
-kZVoaYYU6o_000000,"engine accelerating, revving, vroom",A,False,False,False
-kephM41AwA_000333,lathe spinning,AV,False,False,False
-l-E3kyNcag_000150,orchestra,AV,False,False,False
-l-E3kyNcag_000150,playing french horn,AV,False,False,False
-l-E3kyNcag_000150,playing trombone,AV,False,False,False
-l-E3kyNcag_000150,playing trumpet,AV,False,False,False
-lJctvybAJ8_000030,"male speech, man speaking",AV,False,False,False
-lJctvybAJ8_000030,playing glockenspiel,AV,False,False,False
-lJctvybAJ8_000030,playing vibraphone,AV,False,False,False
-mN5Uo1_TRI_000100,"male speech, man speaking",AV,False,False,False
-miI_C3At4Y_000104,playing badminton,AV,True,False,False
-nDPmlHReow_000060,female singing,AV,False,False,False
-nDPmlHReow_000060,people cheering,A,False,False,False
-nDPmlHReow_000060,people crowd,A,False,False,False
-nDPmlHReow_000060,people screaming,A,False,False,False
-nDPmlHReow_000060,people shuffling,V,False,False,False
-nJbGyPg6BY_000060,"female speech, woman speaking",AV,False,False,False
-nJbGyPg6BY_000060,"male speech, man speaking",AV,False,False,False
-nJbGyPg6BY_000060,people booing,A,False,False,False
-nJbGyPg6BY_000060,people cheering,A,False,False,False
-nJbGyPg6BY_000060,people clapping,A,False,False,False
-nJbGyPg6BY_000060,people crowd,A,False,False,False
-nJbGyPg6BY_000060,people whistling,A,False,False,False
-nQ9a0P1TlY_000023,child singing,AV,False,False,False
-na-0NBG5Ow_000001,"bird chirping, tweeting",A,False,False,False
-na-0NBG5Ow_000001,cricket chirping,A,False,False,False
-na-0NBG5Ow_000001,frog croaking,AV,False,False,False
-na-0NBG5Ow_000001,splashing water,AV,False,False,False
-nj0HaLz2N4_000023,"male speech, man speaking",AV,False,False,False
-nj0HaLz2N4_000023,people crowd,A,False,False,False
-nj0HaLz2N4_000023,playing hockey,AV,False,False,False
-nlkWWphiaM_000030,male singing,AV,False,False,False
-nlkWWphiaM_000030,orchestra,AV,False,False,False
-nlkWWphiaM_000030,playing accordion,AV,False,False,False
-nlkWWphiaM_000030,playing acoustic guitar,AV,False,False,False
-oGJwGEsIiA_000090,"child speech, kid speaking",AV,False,False,False
-oGJwGEsIiA_000090,children shouting,AV,False,False,False
-oGJwGEsIiA_000090,people belly laughing,AV,False,False,False
